negative talks,positive talks,Negative length,Vote(Yes/No)
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,1
1,0,14,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,0
1,0,14,1
1,0,14,1
0,0,0,0
0,0,0,0
1,0,14,0
2,0,28,1
2,0,28,1
1,0,14,0
1,0,14,0
1,0,14,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,28,0
1,0,14,0
1,0,14,1
1,0,14,1
0,0,0,0
1,0,14,1
1,0,14,0
1,0,14,0
2,0,28,0
1,0,14,1
1,0,14,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,1
3,0,42,1
3,0,42,0
1,0,14,1
1,0,14,1
0,0,0,0
0,0,0,0
1,0,14,0
1,0,14,1
1,0,14,1
1,0,14,1
1,0,14,1
1,0,14,1
1,0,14,1
0,0,0,0
2,0,28,0
1,0,14,0
0,0,0,0
1,0,14,1
1,0,14,0
1,0,14,0
0,0,0,0
1,0,14,0
0,0,0,0
1,0,14,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,28,1
2,0,28,1
1,0,14,1
1,0,14,1
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,1
1,0,14,1
1,0,14,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,1
1,0,14,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,1
1,0,14,1
1,0,14,1
1,0,14,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,1
1,0,14,0
1,0,14,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,28,0
2,0,28,0
1,0,14,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,1
0,0,0,0
1,0,14,1
1,0,14,1
1,0,14,0
0,0,0,0
1,0,14,1
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,0
1,0,14,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,1
1,0,14,1
1,0,14,1
1,0,14,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,28,1
0,0,0,0
1,0,14,0
1,0,14,0
0,0,0,0
1,0,14,0
1,0,14,1
0,0,0,0
0,0,0,0
7,0,98,1
0,1,0,0
0,0,0,0
0,0,0,0
2,0,40,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,26,0
1,0,14,0
1,0,14,0
0,0,0,0
1,0,14,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,0
1,0,14,0
2,0,28,1
0,0,0,0
0,0,0,0
0,0,0,0
1,0,26,0
1,0,14,0
1,0,14,0
1,0,14,1
2,0,28,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,1
1,0,14,0
1,0,14,1
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,1
1,0,14,0
1,0,14,1
2,0,40,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
